brand,model,price,avg_rating,battery,reviews,color,RAM,ROM,display_inches,user,price_bin
Samsung,Samsung galaxy a35 5g,21999.0,4.3,5000.0,50248,2,8.0,128.0,6.6,502480,20k-30k
Samsung,Samsung galaxy a36 5g,33999.0,4.3,5000.0,4506,3,8.0,256.0,6.7,45060,30k-40k
Samsung,Samsung galaxy a55 5g,29192.6,4.380000000000001,5000.0,10100,2,8.0,256.0,6.6,101000,20k-30k
Samsung,Samsung galaxy a56 5g,41999.0,4.35,5000.0,658,1,10.0,192.0,6.7,6580,40k-60k
Samsung,Samsung galaxy f05,6499.0,4.2,5000.0,64333,1,4.0,64.0,6.74,643330,0-10k
Samsung,Samsung galaxy f06 5g,9899.0,4.1,5000.0,74442,2,4.0,128.0,6.7,744420,0-10k
Samsung,Samsung galaxy f13,10999.0,4.3,6000.0,210862,1,4.0,64.0,6.6,2108620,10k-20k
Samsung,Samsung galaxy f14 5g,13490.0,4.2,6000.0,128022,1,6.0,128.0,6.6,1280220,10k-20k
Samsung,Samsung galaxy f15 5g,16499.0,4.2,6000.0,49093,1,5.0,128.0,6.5,490930,10k-20k
Samsung,Samsung galaxy f16 5g,12999.0,4.166666666666667,5000.0,36312,3,6.0,128.0,6.657,363120,10k-20k
Samsung,Samsung galaxy f34 5g,20665.666666666668,4.2,6000.0,111061,3,6.0,128.0,6.5,1110610,20k-30k
Samsung,Samsung galaxy f36 5g,18099.0,4.22,5000.0,4504,3,6.0,128.0,6.7,45040,10k-20k
Samsung,Samsung galaxy m04,8999.0,4.1,5000.0,13225,1,4.0,64.0,6.5,132250,0-10k
Samsung,Samsung galaxy m16 5g,13169.857142857143,4.214285714285714,5000.0,2631,3,6.0,128.0,6.7,26310,10k-20k
Samsung,Samsung galaxy m33 5g,19999.0,4.2,6000.0,5070,1,8.0,128.0,6.6,50700,10k-20k
Samsung,Samsung galaxy m35 5g,18270.0,4.3428571428571425,6000.0,93429,3,8.0,128.0,6.6,934290,10k-20k
Samsung,Samsung galaxy s23 5g,44999.0,4.6,3900.0,158972,2,8.0,128.0,6.1,1589720,40k-60k
Samsung,Samsung galaxy s23 ultra 5g,77090.0,4.6,5000.0,4312,1,12.0,256.0,6.8,43120,60k-100k
Samsung,Samsung galaxy s24 5g,49570.42857142857,4.6,4000.0,52689,4,8.0,128.0,6.2,526890,40k-60k
Samsung,Samsung galaxy s24 fe 5g,42999.0,4.5,4700.0,88806,3,8.0,192.0,6.7,888060,40k-60k
Samsung,Samsung galaxy s24 ultra 5g,88593.71428571429,4.6,5000.0,33012,3,12.0,256.0,6.8,330120,60k-100k
Samsung,Samsung galaxy s24+ 5g,52999.0,4.5,4900.0,22996,2,12.0,256.0,6.7,229960,40k-60k
Samsung,Samsung galaxy s25 5g,77399.0,4.6,4000.0,10745,4,12.0,256.0,6.2,107450,60k-100k
Samsung,Samsung galaxy s25 ultra 5g,121999.0,4.7,5000.0,7864,3,12.0,384.0,6.9,78640,100k+
Samsung,Samsung galaxy z flip5,99999.0,4.4,3700.0,842,1,8.0,256.0,6.7,8420,60k-100k
Samsung,Samsung galaxy z fold5,104999.0,4.6,4400.0,604,1,12.0,256.0,6.2,6040,100k+
Samsung,Samsung galaxy z fold6 5g,113497.0,4.4,4400.0,216,2,12.0,256.0,7.6,2160,100k+
Samsung,Samsung m06 5g,10442.666666666666,3.966666666666667,5000.0,808,2,4.0,128.0,6.7,8080,10k-20k
Samsung,Samsung m36 5g,17621.666666666668,3.8499999999999996,5000.0,228,6,7.0,128.0,6.7,2280,10k-20k
Siavantage,Siavantage pro 4,4499.0,2.9,2000.0,20,1,2.0,16.0,3.0,200,0-10k
Tecno,Tecno camon 20 pro,16100.0,4.1,5000.0,845,1,8.0,128.0,6.67,8450,10k-20k
Tecno,Tecno camon 30 5g,23999.0,4.1,5000.0,414,2,12.0,512.0,6.78,4140,20k-30k
Tecno,Tecno pop 9 4g,6499.0,4.1,5000.0,97,1,3.0,64.0,6.67,970,0-10k
Tecno,Tecno pova 6 neo 5g,13199.0,4.18,5000.0,10129,3,8.0,256.0,6.67,101290,10k-20k
Tecno,Tecno pova 7 5g,15599.0,4.5,6000.0,11665,3,8.0,256.0,6.779999999999999,116650,10k-20k
Tecno,Tecno pova 7 pro 5g,19499.0,4.4,6000.0,6768,3,8.0,192.0,6.78,67680,10k-20k
Tecno,Tecno pova curve 5g,16499.0,4.3,5500.0,4827,3,7.0,128.0,6.78,48270,10k-20k
Tecno,Tecno spark 30c 5g,11499.0,4.2,5000.0,2874,3,6.0,96.0,6.669999999999999,28740,10k-20k
Tecno,Tecno spark go 1,6999.0,4.3,5000.0,10180,3,3.0,64.0,6.67,101800,0-10k
Tecno,Tecno spark go 2,6999.0,4.2,5000.0,2904,4,4.0,64.0,6.67,29040,0-10k
Vivo,Vivo t2 pro 5g,23949.0,4.5,4600.0,249972,2,8.0,256.0,6.78,2499720,20k-30k
Vivo,Vivo t3 5g,18249.0,4.4,5000.0,531396,2,8.0,192.0,6.67,5313960,10k-20k
Vivo,Vivo t3 lite 5g,10832.333333333334,4.4,5000.0,245469,2,4.0,128.0,6.56,2454690,10k-20k
Vivo,Vivo t3 pro 5g,23999.0,4.5,5500.0,344316,2,8.0,192.0,6.77,3443160,20k-30k
Vivo,Vivo t3 ultra,30499.0,4.5,5500.0,64718,2,10.0,256.0,6.78,647180,30k-40k
Vivo,Vivo t4 5g,21999.0,4.5,7300.0,92538,2,8.0,128.0,6.77,925380,20k-30k
Vivo,Vivo t4 lite 5g,10999.0,4.380000000000001,6000.0,53494,2,6.0,128.0,6.74,534940,10k-20k
Vivo,Vivo t4 ultra 5g,39999.0,4.5,5500.0,9086,2,12.0,256.0,6.669999999999999,90860,30k-40k
Vivo,Vivo t4r 5g,19499.0,4.5,5700.0,11074,2,8.0,128.0,6.77,110740,10k-20k
Vivo,Vivo t4x 5g,14499.0,4.45,6500.0,179198,1,7.0,128.0,6.72,1791980,10k-20k
Vivo,Vivo v25 5g,16998.0,4.3,4500.0,9038,1,8.0,128.0,6.44,90380,10k-20k
Vivo,Vivo v40 pro 5g,51665.333333333336,4.466666666666667,5500.0,3090,2,12.0,512.0,6.78,30900,40k-60k
Vivo,Vivo v50 5g,34999.0,4.5,6000.0,34266,3,8.0,256.0,6.77,342660,30k-40k
Vivo,Vivo v50e 5g,29999.0,4.4,5600.0,6776,2,8.0,192.0,6.77,67760,20k-30k
